id,Player,height,weight,college,born,birth_city,birth_state
391,Dave Stallworth,201,90,Wichita State University,1941,Dallas,Texas
392,Joe Strawder,208,106,Bradley University,1940,Belle Glade,Florida
393,Bob Warlick,196,90,Pepperdine University,1941,Hickory,North Carolina
394,Jim Washington,198,95,Villanova University,1943,Philadelphia,Pennsylvania
395,Bob Weiss,188,81,Pennsylvania State University,1942,Easton,Pennsylvania
396,Henry Akin,208,102,Morehead State University,1944,Detroit,Michigan
397,Johnny Austin,183,77,Boston College,1944,Washington,District of Columbia
398,Jim Barnett,203,95,University of Texas at El Paso,1941,Tuckerman,Arkansas
399,Dave Bing*,190,81,Syracuse University,1943,Washington,District of Columbia
400,John Block,206,93,University of Southern California,1944,Los Angeles,California
401,Nate Bowman,208,104,Wichita State University,1943,Fort Worth,Texas
402,Jerry Chambers,196,83,University of Utah,1943,Washington,District of Columbia
403,Archie Clark,188,79,University of Minnesota,1941,Conway,Arkansas
404,Freddie Crawford,193,85,St. Bonaventure University,1941,New York,New York
405,Dave Deutsch,185,77,University of Rochester,1945,Brooklyn,New York
406,Hank Finkel,213,108,University of Dayton,1942,Union City,New Jersey
407,Lou Hudson,196,95,University of Minnesota,1944,Greensboro,North Carolina
408,Neil Johnson,203,95,Ohio State University,1929,Chillicothe,Ohio
409,Toby Kimball,198,99,University of Connecticut,1942,Framingham,Massachusetts
410,Clyde Lee,208,92,Vanderbilt University,1944,Nashville,Tennessee
411,Bob Love,203,97,Southern University and A&M College,1942,Bastrop,Louisiana
412,Jack Marin,201,90,Duke University,1944,Sharon,Pennsylvania
413,Bill Melchionni,185,74,Villanova University,1944,Philadelphia,Pennsylvania
414,Wayne Molis,203,104,Lewis University,1943,Chicago,Illinois
415,Flynn Robinson,185,83,University of Wyoming,1941,Elgin,Illinois
416,Cazzie Russell,196,98,University of Michigan,1944,Chicago,Illinois
417,Dave Schellhase,190,92,Purdue University,1944,Evansville,Indiana
418,Dick Snyder,196,93,Davidson College,1944,North Canton,Ohio
419,Jim Ware,201,95,Oklahoma City University,1944,Natchez,Mississippi
420,Walt Wesley,211,99,University of Kansas,1945,Fort Myers,Florida
421,Bill Bradley*,196,92,Princeton University,1943,Crystal City,Missouri
422,Jim Caldwell,208,108,Georgia Institute of Technology,1943,Durham,North Carolina
423,George Carter,193,95,St. Bonaventure University,1944,Buffalo,New York
424,Jim Davis,206,102,University of Colorado,1941,Muncie,Indiana
425,Sonny Dove,201,89,St. John's University,1945,Brooklyn,New York
426,Jim Fox,208,104,University of South Carolina,1943,Atlanta,Georgia
427,Walt Frazier*,193,90,Southern Illinois University,1945,Atlanta,Georgia
428,Dennis Hamilton,203,95,Arizona State University,1944,Huntington Beach,California
429,Clem Haskins,190,88,Western Kentucky University,1943,Campbellsville,Kentucky
430,Al Jackson,185,83,Wilberforce University,1943,Cleveland,Ohio
431,Phil Jackson*,203,99,University of North Dakota,1945,Deer Lodge,Montana
432,Johnny Jones,201,92,"California State University, Los Angeles",1943,Washington,District of Columbia
433,Dave Lattin,198,102,University of Texas at El Paso,1943,Houston,Texas
434,George Lehmann,183,81,Campbell University,1942,Riverside,New Jersey
435,Paul Long,188,81,Wake Forest University,1944,Louisville,Kentucky
436,Ed Manning,201,95,Jackson State University,1944,Summit,Mississippi
437,Stan McKenzie,196,88,New York University,1944,Miami,Florida
438,Jay Miller,196,92,University of Notre Dame,1943,St. Louis,Missouri
439,Earl Monroe*,190,83,Winston-Salem State University,1944,Philadelphia,Pennsylvania
440,Pat Riley*,193,92,University of Kentucky,1945,Rome,New York
441,Bob Rule,206,99,Colorado State University,1944,Riverside,California
442,Al Tucker,203,86,Oklahoma Baptist University,1943,Dayton,Ohio
443,Jimmy Walker,190,88,Providence College,1944,Amherst,Virginia
444,John Wetzel,196,86,Virginia Polytechnic Institute and State University,1944,Waynesboro,Virginia
445,Ken Wilburn,198,88,Central State University,1944,River Rouge,Michigan
446,Art Williams,185,81,"California State Polytechnic University, Pomona",1939,Bonham,Texas
447,Tom Workman,201,98,Seattle University,1944,Seattle,Washington
448,Zaid Abdul-Aziz,206,106,Iowa State University,1946,Brooklyn,New York
449,Rick Adelman,185,79,Loyola Marymount University,1946,Lynwood,California
450,Tom Boerwinkle,213,120,University of Tennessee,1945,Cleveland,Ohio
451,Don Chaney,196,95,University of Houston,1946,Baton Rouge,Louisiana
452,Dick Cunningham,208,111,Murray State University,1946,Canton,Ohio
453,Fred Foster,196,95,Miami University,1946,Springfield,Ohio
454,Gary Gregor,201,102,University of South Carolina,1945,Charlestown,West Virginia
455,Shaler Halimon,196,90,Utah State University,1945,Tampa,Florida
456,Elvin Hayes*,206,106,University of Houston,1945,Rayville,Louisiana
457,Bill Hewitt,201,95,University of Southern California,1944,Cambridge,Massachusetts
458,Bill Hosket,203,102,Ohio State University,1946,Dayton,Ohio
459,Bob Kauffman,203,108,Guilford College,1946,Brooklyn,New York
460,Stu Lantz,190,79,University of Nebraska,1946,Uniontown,Pennsylvania
461,Don May,193,90,University of Dayton,1946,Dayton,Ohio
462,Otto Moore,211,92,University of Texas-Pan American,1946,Miami,Florida
463,Dave Newmark,213,108,Columbia University,1946,Brooklyn,New York
464,Rich Niemann,213,111,Saint Louis University,1946,St. Louis,Missouri
465,Barry Orms,190,86,Saint Louis University,1946,St. Louis,Missouri
466,Charlie Paulk,203,99,Northeastern State University,1946,Fitzgerald,Georgia
467,Bob Quick,196,97,Xavier University,1946,Thornton,Mississippi
468,Craig Raymond,211,106,Brigham Young University,1945,Aberdeen,Washington
469,Mike Riordan,193,90,Providence College,1945,New York,New York
470,Dale Schlueter,208,102,Colorado State University,1945,Tacoma,Washington
471,Doug Sims,201,88,Kent State University,1943,Elba,Alabama
472,Greg Smith,196,88,Western Kentucky University,1947,Princeton,Kentucky
473,John Trapp,201,95,"University of Nevada, Las Vegas",1945,Detroit,Michigan
474,Wes Unseld*,201,111,University of Louisville,1946,Louisville,Kentucky
475,Dwight Waller,198,99,Tennessee State University,1945,Brownsville,Tennessee
476,Ron Williams,190,85,West Virginia University,1944,Weirton,West Virginia
477,Kareem Abdul-Jabbar*,218,102,"University of California, Los Angeles",1947,New York,New York
478,Lucius Allen,188,79,"University of California, Los Angeles",1947,Kansas City,Kansas
479,Johnny Baum,196,90,Temple University,1946,Philadelphia,Pennsylvania
480,Butch Beard,190,83,University of Louisville,1947,Hardinsburg,Kentucky
481,Fred Carter,190,83,Mount St. Mary's University,1945,Philadelphia,Pennsylvania
482,Bob Dandridge,198,88,Norfolk State University,1947,Richmond,Virginia
483,Mike Davis,190,83,Virginia Union University,1946,Brooklyn,New York
484,Herm Gilliam,190,86,Purdue University,1946,Winston-Salem,North Carolina
485,Lamar Green,201,95,Morehead State University,1947,Birmingham,Alabama
486,Connie Hawkins*,203,95,University of Iowa,1942,Brooklyn,New York
487,Steve Kuberski,203,97,Bradley University,1947,Moline,Illinois
488,Mike Lynn,201,97,"University of California, Los Angeles",1945,Covina,California
489,Willie McCarter,190,79,Drake University,1946,Gary,Indiana
490,Steve Mix,201,97,University of Toledo,1947,Toledo,Ohio
491,Grady O'Malley,196,92,Manhattan College,1948,Boston,Massachusetts
492,Bud Ogden,198,97,Santa Clara University,1946,San Luis Obispo,California
493,Bob Portman,196,90,Creighton University,1947,San Francisco,California
494,Luther Rackley,208,99,Xavier University,1946,Bainbridge,Georgia
495,Rick Roberson,206,104,University of Cincinnati,1947,Memphis,Tennessee
496,Neal Walk,208,99,University of Florida,1948,Cleveland,Ohio
497,John Warren,190,81,St. John's University,1947,Sparta,Georgia
498,Bernie Williams,190,79,La Salle University,1945,Washington,District of Columbia
499,Lee Winfield,188,78,University of North Texas,1947,St. Louis,Missouri
500,Don Adams,198,95,Northwestern University,1947,Atlanta,Georgia
501,Tiny Archibald*,185,68,University of Texas at El Paso,1948,New York,New York
502,Bob Arnzen,196,92,University of Notre Dame,1947,Covington,Kentucky
503,Dennis Awtrey,208,106,Santa Clara University,1948,Hollywood,California
504,Dave Cowens*,206,104,Florida State University,1948,Newport,Kentucky
505,Terry Driscoll,201,97,Boston College,1947,Winthrop,Massachusetts
506,Claude English,193,83,University of Rhode Island,1946,Columbus,Georgia
507,Greg Fillmore,216,108,Cheyney University of Pennsylvania,1947,Philadelphia,Pennsylvania
508,Spencer Haywood*,203,102,University of Detroit Mercy,1949,Silver City,Mississippi
509,Gar Heard,198,99,University of Oklahoma,1948,Hogansville,Georgia
510,Greg Howard,206,97,University of New Mexico,1948,Pittsburgh,Pennsylvania
511,John Hummer,206,104,Princeton University,1948,Washington,District of Columbia
512,George Johnson,211,111,Stephen F. Austin State University,1947,Herleton,Texas
513,John Johnson,201,90,University of Iowa,1947,Carthage,Mississippi
514,Sam Lacey,208,106,New Mexico State University,1948,Indianaola,Mississippi
515,Bob Lanier*,211,113,St. Bonaventure University,1948,Buffalo,New York
516,Pete Maravich*,196,89,Louisiana State University,1947,Aliquippa,Pennsylvania
517,Eddie Mast,206,99,Temple University,1948,Philadelphia,Pennsylvania
518,Jim McMillian,196,97,Columbia University,1948,Raeford,North Carolina
519,Rex Morgan,196,86,Jacksonville University,1948,Charleston,Illinois
520,Calvin Murphy*,175,74,Niagara University,1948,Norwalk,Connecticut
521,Curtis Perry,201,99,Missouri State University,1948,Washington,District of Columbia
522,Geoff Petrie,193,86,Princeton University,1948,Darby,Pennsylvania
523,Mike Price,190,90,University of Illinois at Urbana-Champaign,1948,Russellville,Kentucky
524,Paul Ruffner,208,102,Brigham Young University,1948,Downey,California
525,Mike Silliman,198,102,United States Military Academy,1944,Louisville,Kentucky
526,Garfield Smith,206,106,Eastern Kentucky University,1945,Campbellsville,Kentucky
527,Fred Taylor,196,81,University of Texas-Pan American,1948,Houston,Texas
528,Joe Thomas,198,92,Marquette University,1948,Canton,Georgia
529,Rudy Tomjanovich,203,98,University of Michigan,1948,Hamtramck,Michigan
530,Cornell Warner,206,99,Jackson State University,1948,Jackson,Mississippi
531,Milt Williams,188,82,Lincoln University of Missouri,1945,Seattle,Washington
532,Fred Brown,190,82,University of Iowa,1948,Milwaukee,Wisconsin
533,Austin Carr,193,90,University of Notre Dame,1948,Washington,District of Columbia
534,Phil Chenier,190,81,University of California,1950,Berkeley,California
535,Jim Cleamons,190,83,Ohio State University,1949,Lincolnton,North Carolina
536,Charlie Davis,188,72,Wake Forest University,1949,New York,New York
537,Ken Durrett,201,86,La Salle University,1948,Pittsburgh,Pennsylvania
538,Dick Gibbs,196,95,University of Texas at El Paso,1948,Ames,Iowa
539,Clarence Glover,203,95,Western Kentucky University,1947,Horse Cave,Kentucky
540,Mo Layton,185,81,University of Southern California,1948,Newark,New Jersey
541,Stan Love,206,97,University of Oregon,1949,Los Angeles,California
542,Jim McDaniels,211,103,Western Kentucky University,1948,Scottsville,Kentucky
543,Kenny McIntosh,201,102,Eastern Michigan University,1949,Detroit,Michigan
544,Cliff Meely,203,97,University of Colorado,1947,Rosedale,Mississippi
545,Dean Meminger,183,79,Marquette University,1948,Walterboro,South Carolina
546,John Mengelt,188,88,Auburn University,1949,Lacrosse,Wisconsin
547,Mike Newlin,193,90,University of Utah,1949,Portland,Oregon
548,Willie Norwood,201,99,Alcorn State University,1947,Carrolton,Mississippi
549,Steve Patterson,206,102,"University of California, Los Angeles",1948,Riverside,California
550,Howard Porter,203,99,Villanova University,1948,Stuart,Florida
551,Clifford Ray,206,104,University of Oklahoma,1949,Union,South Carolina
552,Jackie Ridgle,193,88,University of California,1948,Altheimer,Arkansas
553,Curtis Rowe,201,102,"University of California, Los Angeles",1949,Bessemer,Alabama
554,Charlie Scott,196,79,University of North Carolina,1948,New York,New York
555,Elmore Smith,213,113,Kentucky State University,1949,Macon,Georgia
556,Randy Smith,190,81,State University of New York College at Buffalo,1948,Bellport,New York
557,Larry Steele,196,81,University of Kentucky,1949,Greencastle,Indiana
558,George Trapp,203,92,"California State University, Long Beach",1948,Detroit,Michigan
559,Sidney Wicks,203,102,"University of California, Los Angeles",1949,Los Angeles,California
560,Nate Williams,196,97,Utah State University,1950,Columbia,Louisiana
561,Isaiah Wilson,188,79,University of Baltimore,1948,Philadelphia,Pennsylvania
562,Dave Wohl,188,83,University of Pennsylvania,1949,Flushing,New York
563,Henry Bibby,185,83,"University of California, Los Angeles",1949,Franklinton,North Carolina
564,Freddie Boyd,188,81,Oregon State University,1950,Bakersfield,California
565,Steve Bracey,185,79,University of Tulsa,1950,Brooklyn,New York
566,John Brisker,196,95,University of Toledo,1947,Detroit,Michigan
567,Roger Brown,196,92,University of Dayton,1942,Brooklyn,New York
568,Corky Calhoun,201,95,University of Pennsylvania,1950,Waukegan,Illinois
569,Dwight Davis,203,99,University of Houston,1949,Houston,Texas
570,Mickey Davis,190,83,Virginia Union University,1946,Brooklyn,New York
571,Charles Dudley,188,81,University of Washington,1950,Harrisburg,Pennsylvania
572,Scott English,198,92,University of Texas at El Paso,1950,Evanston,Illinois
573,Chris Ford,196,86,Villanova University,1949,Atlantic City,New Jersey
574,Rowland Garrett,198,95,Florida State University,1950,Canton,Mississippi
575,John Gianelli,208,99,University of the Pacific,1950,Stockton,California
576,Travis Grant,201,97,Kentucky State University,1950,Clayton,Alabama
577,Luther Green,201,86,Long Island University,1946,New York,New York
578,Charles Johnson,183,77,University of California,1949,Corpus Christi,Texas
579,Ollie Johnson,198,90,Temple University,1949,Philadelphia,Pennsylvania
580,Manny Leaks,203,102,Niagara University,1945,Cleveland,Ohio
581,Russ Lee,196,83,Marshall University,1950,Boston,Massachusetts
582,LaRue Martin,211,94,Loyola University of Chicago,1950,Chicago,Illinois
583,Bob McAdoo*,206,95,University of North Carolina,1951,Greensboro,North Carolina
584,Paul McCracken,193,81,"California State University, Northridge",1950,New York,New York
585,Eric McWilliams,203,90,"California State University, Long Beach",1950,Denver,Colorado
586,Bob Nash,203,88,University of Hawaii,1950,Hartford,Connecticut
587,Lloyd Neal,201,102,Tennessee State University,1950,Talbottom,Georgia
588,Kevin Porter,183,77,Saint Francis University,1950,Chicago,Illinois
589,Jim Price,190,88,University of Louisville,1949,Russellville,Kentucky
590,Mike Ratliff,208,104,University of Wisconsin-Eau Claire,1951,New Albany,Mississippi
591,Tom Riker,208,102,University of South Carolina,1950,Rockville Centre,New York
592,Ron Riley,203,88,University of Southern California,1950,Los Angeles,California
593,Frank Schade,185,77,University of Wisconsin-Eau Claire,1950,Wausau,Wisconsin
594,Bud Stallworth,196,86,University of Kansas,1950,Hartselle,Alabama
595,Chuck Terry,198,97,"California State University, Long Beach",1950,Long Beach,California
596,John Tschogl,198,93,"University of California, Santa Barbara",1950,Chula Vista,California
597,Paul Westphal,193,88,University of Southern California,1950,Torrance,California
598,Harthorne Wingo,198,95,Friendship Junior College,1947,Tryon,North Carolina
599,Mike Bantom,206,90,Saint Joseph's University,1951,Philadelphia,Pennsylvania
600,Ron Behagen,206,83,University of Minnesota,1951,New York,New York
601,Dennis Bell,196,83,Drake University,1951,Cincinnati,Ohio
602,Jim Brewer,206,95,University of Minnesota,1951,Maywood,Illinois
603,Allan Bristow,201,95,Virginia Polytechnic Institute and State University,1951,Richmond,Virginia
604,John Brown,201,99,University of Missouri,1951,Frankfurt,Germany
605,Larry Cannon,193,88,La Salle University,1947,Philadelphia,Pennsylvania
606,Doug Collins,198,81,Illinois State University,1951,Christopher,Illinois
607,Mike D'Antoni,190,83,Marshall University,1951,Mullens,West Virginia
608,Mel Davis,198,99,St. John's University,1950,New York,New York
609,Derrek Dickey,201,98,University of Cincinnati,1951,Cincinnati,Ohio
610,Ernie DiGregorio,183,81,Providence College,1951,North Providence,Rhode Island
611,Steve Downing,203,102,Indiana University,1950,Indianapolis,Indiana
612,Bernie Fryer,190,83,Brigham Young University,1949,Bellingham,Washington
613,Phil Hankinson,203,88,University of Pennsylvania,1951,Augusta,Georgia
614,Nate Hawthorne,193,86,Southern Illinois University,1950,Mt. Vernon,Illinois
